player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,pooled_members,total_regular_games,valid_regular_games,missing_games_count,no_observations,is_pooled_estimate
1149,D. Upamecano,D,Bayern Munich,1,Germany,Bundesliga,2021,2188.0,24.449,25,23,3,2,1,6,1.48,0.715,-0.667,0.2,-0.406,0.266,-0.521,0.31,-0.145,0.0907,1.48,0.715,-0.729,0.199,-0.133,0.068,False,,,1149,306,306,0,False,False
24882,O. Mangala,M,VfB Stuttgart,15,Germany,Bundesliga,2021,1890.0,20.889,22,8,6,14,1,3,1.48,0.56,0.593,0.189,0.325,0.266,0.382,0.31,0.086,0.0907,1.48,0.56,0.576,0.188,0.0853,0.068,False,,,24882,306,306,0,False,False
152654,J. Frimpong,D,Bayer Leverkusen,3,Germany,Bundesliga,2021,2070.0,23.15,25,15,0,10,1,6,1.41,0.745,0.623,0.275,0.227,0.266,0.31,0.31,0.117,0.0907,1.41,0.745,0.582,0.273,0.0908,0.068,False,,,152654,306,306,0,False,False
982,L. Alario,F,Bayer Leverkusen,3,Germany,Bundesliga,2021,611.0,6.814,5,3,22,2,6,0,1.31,0.656,0.627,0.246,0.286,0.266,0.393,0.31,0.0,0.0907,1.31,0.656,0.592,0.244,0.0,0.068,False,,,982,306,306,0,False,False
404,B. Oczipka,M,Union Berlin,5,Germany,Bundesliga,2021,925.0,10.346,9,5,9,4,0,1,1.3,0.783,0.92,0.342,0.0844,0.266,0.163,0.31,0.102,0.0907,1.3,0.783,0.929,0.339,0.0406,0.068,False,,,404,306,306,0,False,False
15848,J. Laursen,D,Arminia Bielefeld,17,Germany,Bundesliga,2021,1629.0,18.247,20,8,4,12,2,0,1.26,0.803,-0.0338,0.223,0.0,0.266,-0.0328,0.31,0.0,0.0907,1.26,0.803,-0.0177,0.221,0.0,0.068,False,,,15848,306,306,0,False,False
24968,M. Okugawa,M,Arminia Bielefeld,17,Germany,Bundesliga,2021,2550.0,28.428,30,13,3,17,8,1,1.25,0.696,0.338,0.228,0.115,0.266,0.193,0.31,0.0439,0.0907,1.25,0.696,0.369,0.226,0.0506,0.068,False,,,24968,306,306,0,False,False
25634,Unknown,Unknown,Bayern Munich,1,Germany,Bundesliga,2021,6.0,0.071,0,0,1,0,0,0,1.24,1.8,-0.181,0.442,0.0,0.266,0.0,0.31,0.0,0.0907,1.24,1.8,-0.189,0.438,0.0,0.068,False,,,25634,306,306,0,False,False
421,B. Embolo,F,Borussia Monchengladbach,10,Germany,Bundesliga,2021,2137.0,23.896,24,18,5,6,9,3,1.23,0.569,0.916,0.197,0.655,0.266,0.738,0.31,0.295,0.0907,1.23,0.569,0.888,0.196,0.202,0.068,False,,,421,306,306,0,False,False
24963,A. Karazor,M,VfB Stuttgart,15,Germany,Bundesliga,2021,1922.0,21.092,23,16,1,7,0,1,1.22,0.544,0.456,0.215,0.167,0.266,0.254,0.31,0.0222,0.0907,1.22,0.544,0.437,0.213,0.00869,0.068,False,,,24963,306,306,0,False,False
1221,S. Azmoun,M,Bayer Leverkusen,3,Germany,Bundesliga,2021,349.0,3.936,4,0,5,4,1,1,1.22,0.676,0.536,0.287,0.319,0.266,0.398,0.31,0.0,0.0907,1.22,0.676,0.554,0.285,0.0,0.068,False,,,1221,306,306,0,False,False
26240,P. Lienhart,D,SC Freiburg,6,Germany,Bundesliga,2021,2885.0,32.0,32,30,0,2,5,0,1.22,1.41,0.923,0.36,0.402,0.266,0.5,0.31,0.0,0.0907,1.22,1.41,0.97,0.358,0.0,0.068,False,,,26240,306,306,0,False,False
25109,F. Krüger,F,Arminia Bielefeld,17,Germany,Bundesliga,2021,1092.0,11.883,12,2,15,10,1,2,1.17,0.671,0.328,0.19,0.264,0.266,0.314,0.31,0.0937,0.0907,1.17,0.671,0.344,0.189,0.0494,0.068,False,,,25109,306,306,0,False,False
25183,P. Förster,F,VfB Stuttgart,15,Germany,Bundesliga,2021,999.0,11.174,11,2,9,9,2,1,1.17,0.517,0.428,0.203,0.126,0.266,0.188,0.31,0.0181,0.0907,1.17,0.517,0.414,0.201,0.0,0.068,False,,,25183,306,306,0,False,False
207236,Unknown,Unknown,VfB Stuttgart,15,Germany,Bundesliga,2021,66.0,0.737,0,0,4,0,0,0,1.16,0.719,0.234,0.385,0.0,0.266,0.0,0.31,0.0,0.0907,1.16,0.719,0.262,0.381,0.0,0.068,False,,,207236,306,306,0,False,False
25007,C. Brunner,D,Arminia Bielefeld,17,Germany,Bundesliga,2021,2191.0,24.264,26,19,1,7,0,1,1.14,0.793,0.0326,0.259,0.0,0.266,0.0,0.31,0.101,0.0907,1.14,0.793,0.0459,0.257,0.137,0.068,False,,,25007,306,306,0,False,False
202017,Unknown,Unknown,VfB Stuttgart,15,Germany,Bundesliga,2021,123.0,1.337,0,0,6,0,1,0,1.12,0.751,0.281,0.347,0.0,0.266,0.0,0.31,0.044,0.0907,1.12,0.751,0.252,0.344,0.0,0.068,False,,,202017,306,306,0,False,False
26303,B. Sosa,D,VfB Stuttgart,15,Germany,Bundesliga,2021,2529.0,27.795,28,26,0,2,1,8,1.11,0.541,0.401,0.213,0.0724,0.266,0.129,0.31,0.025,0.0907,1.11,0.541,0.401,0.212,0.0,0.068,False,,,26303,306,306,0,False,False
24825,P. Klement,F,VfB Stuttgart,15,Germany,Bundesliga,2021,340.0,3.833,3,0,3,3,1,0,1.11,0.697,-0.0589,0.333,-0.121,0.266,-0.0993,0.31,-0.0315,0.0907,1.11,0.697,-0.0357,0.33,0.0,0.068,False,,,24825,306,306,0,False,False
25025,F. Klos,F,Arminia Bielefeld,17,Germany,Bundesliga,2021,1431.0,15.941,14,3,11,11,3,1,1.08,0.676,0.264,0.236,0.2,0.266,0.232,0.31,0.0317,0.0907,1.08,0.676,0.282,0.234,0.00584,0.068,False,,,25025,306,306,0,False,False
